Date,place,trend,subway,land
2016-10,강남,11921.382278026,188898.74193548388,92676
2016-10,반포,3235.5540731814026,91517.29032258065,98194
2016-10,삼청,5635.6848547348545,59881.6129032258,92852
2016-10,서촌,2633.491420631476,58978.0,74917
2016-10,성수,2882.0696557437386,67410.06451612903,72493
2016-10,신사,7134.191421626698,167131.2258064516,119801
2016-10,신촌,6356.079305470817,151218.70967741936,26819
2016-10,연남,5934.0285505992815,8892.032258064517,52040
2016-10,을지로,1958.4838359056837,266245.1935483871,21140
2016-10,이태원,10451.802862118373,56919.32258064516,85095
2016-10,익선,7231.802583497457,169342.93548387097,25014
2016-10,장충,1085.3779246534218,100951.58064516129,58462
2016-10,청담,2143.91569746331,86178.51612903226,124518
2016-10,한남,2356.7200635987774,29998.967741935485,74731
2016-10,혜화,6846.343690095074,89852.70967741935,56115
2016-10,홍대,15013.293119709853,180530.87096774194,91727
2016-11,강남,14165.50807553677,197812.5,92769
2016-11,반포,3196.4084529809616,121699.4,99315
2016-11,삼청,4004.9092466353104,62222.6,92852
2016-11,서촌,2403.0509950665614,63321.9,74917
2016-11,성수,2474.157550203395,69985.3,73556
2016-11,신사,7623.974336587509,173029.56666666668,120328
2016-11,신촌,6732.052685065295,157908.23333333334,26819
2016-11,연남,5438.382214674038,8975.133333333333,52519
2016-11,을지로,2084.896553707934,286944.63333333336,21140
2016-11,이태원,10281.289729140872,50706.833333333336,85153
2016-11,익선,6718.40540795912,180859.23333333334,25014
2016-11,장충,1082.5817109272145,104463.26666666666,58784
2016-11,청담,2323.2582393370158,91169.53333333334,124796
2016-11,한남,2441.1733272133247,30308.133333333335,74836
2016-11,혜화,7740.914053813163,93670.73333333334,56115
2016-11,홍대,16566.541422736023,180065.1,92410
2016-12,강남,16771.592595454633,205691.7741935484,93026
2016-12,반포,3844.5723148901866,120978.0,99351
2016-12,삼청,3698.6330204338483,59047.6129032258,92852
2016-12,서촌,2790.9275061551452,60271.290322580644,74917
2016-12,성수,2612.6009519952363,68827.35483870968,73594
2016-12,신사,8515.595760827364,177674.35483870967,120328
2016-12,신촌,7592.861670785755,150804.12903225806,26824
2016-12,연남,5966.568344381824,8574.290322580646,52519
2016-12,을지로,2160.192716514825,280967.5483870968,21140
2016-12,이태원,12670.97932077995,55574.645161290326,85153
2016-12,익선,7626.11170116522,182010.5806451613,25014
2016-12,장충,1193.352360251517,102974.41935483871,58808
2016-12,청담,2714.945982420483,89607.3870967742,126068
2016-12,한남,2842.652799770077,29503.451612903227,74860
2016-12,혜화,9932.44475723186,99150.29032258065,56190
2016-12,홍대,20499.276787816205,196355.06451612903,92410
2017-01,강남,17628.238878003456,202233.83870967742,93552
2017-01,반포,3639.336892330456,107390.74193548386,99735
2017-01,삼청,3623.7455286754875,47157.77419354839,92852
2017-01,서촌,2446.0459094687967,43115.48387096774,74917
2017-01,성수,2838.25066968493,62545.6129032258,73635
2017-01,신사,8226.170333478265,157836.16129032258,120328
2017-01,신촌,8114.931507228586,129996.41935483871,26824
2017-01,연남,5883.310275706331,7734.967741935484,52519
2017-01,을지로,1972.7453317870668,241416.48387096773,21140
2017-01,이태원,11710.790054897978,46473.93548387097,85207
2017-01,익선,7282.107418854665,158809.48387096773,25665
2017-01,장충,1137.730193554026,90381.03225806452,59248
2017-01,청담,2370.8749569554093,79970.83870967742,126336
2017-01,한남,2257.581945934463,26465.548387096773,74878
2017-01,혜화,8147.217118511479,79451.25806451614,56190
2017-01,홍대,21432.302858101368,178767.90322580645,93839
2017-02,강남,20360.38033617509,224396.0,93854
2017-02,반포,4356.085737923744,118741.71428571429,100176
2017-02,삼청,4228.388644879948,54515.75,92852
2017-02,서촌,3508.236493633619,50436.46428571428,74917
2017-02,성수,3123.54407231707,70130.14285714286,73800
2017-02,신사,9758.041465176402,176851.0,120749
2017-02,신촌,8721.652363968276,147453.9642857143,26824
2017-02,연남,6816.773050292836,8622.75,52519
2017-02,을지로,2287.588841028171,270876.5,21140
2017-02,이태원,12949.896570361152,51875.07142857143,85207
2017-02,익선,8517.755138701521,180306.2857142857,25665
2017-02,장충,1144.8540581007135,100661.35714285714,59200
2017-02,청담,2778.3632509899803,90452.64285714286,126435
2017-02,한남,2811.8046837634533,29553.428571428572,75013
2017-02,혜화,8906.652303378864,87858.0,56358
2017-02,홍대,22989.97384701215,203476.82142857142,94025
2017-03,강남,15993.93481641623,206987.7741935484,94345
2017-03,반포,3787.825810924875,121963.19354838709,101035
2017-03,삼청,3985.6741190545613,58066.54838709677,92852
2017-03,서촌,3102.5946466754367,55710.22580645161,74917
2017-03,성수,3465.5037036457134,71445.0,74025
2017-03,신사,8555.106725307807,172808.38709677418,121769
2017-03,신촌,7695.296177932376,159517.64516129033,26801
2017-03,연남,7332.595854729323,9716.129032258064,54674
2017-03,을지로,2218.311255066484,276471.03225806454,21140
2017-03,이태원,11832.688977771606,53105.67741935484,85207
2017-03,익선,7910.836600738325,180695.12903225806,25665
2017-03,장충,1230.5202045777075,105273.29032258065,59225
2017-03,청담,2703.919048211926,89961.6129032258,126920
2017-03,한남,2928.207348148155,31163.1935483871,71903
2017-03,혜화,7879.301213214424,91325.32258064517,57239
2017-03,홍대,17121.251750728457,188362.67741935485,95393
2017-04,강남,15512.371295242,199490.4,94847
2017-04,반포,3752.228446290997,119376.4,102085
2017-04,삼청,4811.275309144572,57794.7,92852
2017-04,서촌,3005.788174729175,54254.666666666664,74917
2017-04,성수,4153.905468756112,71936.76666666666,74789
2017-04,신사,7451.743939432187,166267.4,122069
2017-04,신촌,7532.086521923207,149821.23333333334,26801
2017-04,연남,7734.609949142969,9823.0,56003
2017-04,을지로,2031.554803075353,264009.06666666665,21140
2017-04,이태원,10925.386729472473,53292.76666666667,85672
2017-04,익선,7682.334727674957,170911.7,25665
2017-04,장충,1163.1421786643164,102803.7,59277
2017-04,청담,2620.117075174279,86899.33333333333,127872
2017-04,한남,2695.237003371441,30952.133333333335,71903
2017-04,혜화,7141.483221994742,87691.3,57253
2017-04,홍대,16546.35136839721,182381.66666666666,95579
2017-05,강남,16667.911223451065,191482.16129032258,97159
2017-05,반포,3769.029246046065,115086.32258064517,102962
2017-05,삼청,5153.910571728923,54431.3870967742,92852
2017-05,서촌,3511.0310961386626,52899.3870967742,74917
2017-05,성수,3949.7399192726675,67902.90322580645,82266
2017-05,신사,9674.788721965673,158029.1935483871,122576
2017-05,신촌,8067.99983596657,148644.09677419355,26939
2017-05,연남,8269.03887799195,9587.41935483871,56003
2017-05,을지로,1996.2982064195778,245559.03225806452,22099
2017-05,이태원,13619.770310282564,53474.967741935485,86179
2017-05,익선,8798.082251427837,166114.09677419355,25821
2017-05,장충,1245.4456106159714,98613.2258064516,60093
2017-05,청담,2649.2711659487513,80641.12903225806,133385
2017-05,한남,2938.0952221951466,30176.870967741936,72632
2017-05,혜화,9844.92718606901,89985.25806451614,57253
2017-05,홍대,17952.65401107581,188806.5483870968,96014
2017-06,강남,17930.842228898502,200418.96666666667,98735
2017-06,반포,3764.8412693503033,118426.23333333334,103947
2017-06,삼청,4324.429990228628,53430.53333333333,92852
2017-06,서촌,3242.7322730644196,51042.333333333336,74917
2017-06,성수,3883.5295519508086,70643.6,87464
2017-06,신사,10218.452336974797,167495.36666666667,122727
2017-06,신촌,7716.144226388238,141397.26666666666,26939
2017-06,연남,8065.407108879662,9714.366666666667,56154
2017-06,을지로,2280.3379523465132,256825.9,22939
2017-06,이태원,14048.729206694788,53589.8,88803
2017-06,익선,8599.524315655255,167938.76666666666,25821
2017-06,장충,1300.6771678660155,101096.16666666667,61299
2017-06,청담,3322.3496200456752,85952.96666666666,134464
2017-06,한남,2849.8055957410397,30475.633333333335,73496
2017-06,혜화,9677.259791765946,85271.86666666667,58943
2017-06,홍대,18021.150957171245,179898.76666666666,96014
2017-07,강남,21209.550093664995,213043.32258064515,101469
2017-07,반포,3955.760135673376,111769.67741935483,105276
2017-07,삼청,4432.2508497793215,49878.06451612903,92852
2017-07,서촌,3199.919233355293,45372.12903225807,74917
2017-07,성수,3569.2548600763275,66057.32258064517,89686
2017-07,신사,10230.704583066523,162467.1935483871,126093
2017-07,신촌,9547.978956982193,138552.90322580645,26939
2017-07,연남,7764.800622754406,8960.064516129032,57223
2017-07,을지로,2470.6018475076125,242048.0,23055
2017-07,이태원,13112.929908399274,49415.032258064515,90782
2017-07,익선,9823.527198614127,164064.51612903227,25821
2017-07,장충,1356.9814303878425,95193.67741935483,62077
2017-07,청담,3678.9543933629107,81752.12903225806,139475
2017-07,한남,3230.971053174725,29107.225806451614,75220
2017-07,혜화,10617.150946252312,81568.19354838709,59032
2017-07,홍대,20779.256175298422,178758.03225806452,100799
2017-08,강남,21791.654805478167,205247.0,102105
2017-08,반포,4490.27416246661,110167.67741935483,106414
2017-08,삼청,5240.595083843227,50677.77419354839,92852
2017-08,서촌,3762.7685490417625,46172.54838709677,74917
2017-08,성수,4652.780022145939,66085.06451612903,90496
2017-08,신사,11116.076475554963,159938.32258064515,126725
2017-08,신촌,8343.217759467334,130390.19354838709,26939
2017-08,연남,9037.44558305062,9018.0,57717
2017-08,을지로,2531.1243281403645,243858.35483870967,23055
2017-08,이태원,14357.549009502336,49702.54838709677,90782
2017-08,익선,10869.360760198515,161801.0,25821
2017-08,장충,1482.3095164863792,93496.19354838709,62645
2017-08,청담,3841.925083802032,80537.51612903226,140034
2017-08,한남,3053.54031706066,28280.290322580644,76180
2017-08,혜화,10634.374611071666,81747.09677419355,59038
2017-08,홍대,22006.543436436747,181240.83870967742,102105
2017-09,강남,18759.063600670397,202520.03333333333,104181
2017-09,반포,3905.9348581281633,120506.1,107523
2017-09,삼청,5589.954112662969,55412.666666666664,92852
2017-09,서촌,3579.0297223639345,53991.23333333333,79167
2017-09,성수,5209.282503167947,73749.46666666666,91497
2017-09,신사,9286.774577055858,170269.73333333334,126725
2017-09,신촌,8057.253805715907,148608.76666666666,26988
2017-09,연남,8559.112784780918,10154.933333333332,58809
2017-09,을지로,2422.8736872033633,264872.1666666667,23055
2017-09,이태원,12987.086102538535,53518.36666666667,91181
2017-09,익선,9348.706565324075,173486.53333333333,25821
2017-09,장충,1359.1905539391796,103380.9,63611
2017-09,청담,3307.7713179052344,86760.66666666667,141401
2017-09,한남,2728.0333802023642,30816.033333333333,76354
2017-09,혜화,8418.959186389926,88441.16666666667,59038
2017-09,홍대,17857.847018750796,182934.13333333333,102105
2017-10,강남,17370.09367328476,169449.83870967742,106335
2017-10,반포,3532.336904043593,103054.64516129032,109052
2017-10,삼청,7235.048735254527,53180.096774193546,92852
2017-10,서촌,3788.7326343779214,53565.93548387097,79167
2017-10,성수,4778.908861723668,62124.74193548387,92902
2017-10,신사,9672.096154597313,144520.25806451612,127218
2017-10,신촌,7314.474200123644,127286.93548387097,27313
2017-10,연남,8703.249184810034,9012.774193548386,59522
2017-10,을지로,2148.594987460995,225941.2258064516,23055
2017-10,이태원,14686.874699534392,58732.51612903226,92091
2017-10,익선,9959.938773319042,156876.32258064515,25821
2017-10,장충,1025.7734264165088,90355.80645161291,64856
2017-10,청담,2825.8959304339983,71106.96774193548,142448
2017-10,한남,2558.5302211051903,26940.74193548387,77761
2017-10,혜화,9127.72258336375,80048.25806451614,59038
2017-10,홍대,17684.19695545306,174948.48387096773,102105
2017-11,강남,18573.867417741112,201677.56666666668,108100
2017-11,반포,3827.10237732121,120778.2,111989
2017-11,삼청,5395.609864364788,57816.63333333333,92852
2017-11,서촌,2976.0562799305653,54359.76666666667,79333
2017-11,성수,4102.1857988245465,73861.1,94120
2017-11,신사,9242.259187778272,169986.53333333333,128001
2017-11,신촌,8129.680609320772,152016.13333333333,27337
2017-11,연남,8016.3405638084805,10236.8,60013
2017-11,을지로,2619.691365369511,275529.76666666666,23055
2017-11,이태원,12979.831721042841,50233.166666666664,93207
2017-11,익선,10044.695973853952,176319.46666666667,25821
2017-11,장충,1084.2209888710897,104049.3,65597
2017-11,청담,3034.4388925165636,89155.96666666666,143992
2017-11,한남,2707.732397675242,30579.666666666668,78482
2017-11,혜화,10648.37115021444,93957.63333333333,59038
2017-11,홍대,17219.05311674681,182642.93333333332,104653
2017-12,강남,24627.48392075101,206626.61290322582,111360
2017-12,반포,4223.487810407216,117149.80645161291,112995
2017-12,삼청,4424.332383044833,53229.58064516129,92852
2017-12,서촌,3302.926352609094,50971.0,80083
2017-12,성수,4035.0852593548025,68336.32258064517,94953
2017-12,신사,10387.61509573322,174047.48387096773,130376
2017-12,신촌,10397.79427413272,147204.38709677418,27544
2017-12,연남,9230.000041354311,9505.451612903225,60341
2017-12,을지로,2928.9545400498487,266089.0,23055
2017-12,이태원,14006.865584906676,56353.06451612903,99802
2017-12,익선,12856.939790539993,176126.1935483871,25821
2017-12,장충,1308.3200911385754,100797.29032258065,66121
2017-12,청담,3635.592871663893,84177.80645161291,145743
2017-12,한남,3267.1185087449867,29130.74193548387,78715
2017-12,혜화,15020.829386286036,98824.6129032258,59380
2017-12,홍대,22750.63398287197,196216.09677419355,110494
2018-01,강남,24222.06283632658,215429.03225806452,115334
2018-01,반포,3887.781188638837,111586.41935483871,114407
2018-01,삼청,4237.22723193184,47843.93548387097,92852
2018-01,서촌,3065.3957780329197,44619.8064516129,80083
2018-01,성수,3947.156684306405,69012.41935483871,97026
2018-01,신사,11430.285447851838,166638.64516129033,130448
2018-01,신촌,11462.95724463732,130089.70967741935,27568
2018-01,연남,8326.841188973222,8798.709677419354,60341
2018-01,을지로,3100.2237584410414,251243.29032258064,23055
2018-01,이태원,11851.270118208377,46441.967741935485,100201
2018-01,익선,13639.250526360958,166051.03225806452,25821
2018-01,장충,1261.0833176286485,95577.74193548386,67600
2018-01,청담,3213.8795853820543,84365.12903225806,155857
2018-01,한남,3227.21048732376,27608.74193548387,79730
2018-01,혜화,14495.4298419549,81946.58064516129,59582
2018-01,홍대,27076.745036182725,178140.61290322582,112607
2018-02,강남,21147.629550316826,203891.17857142858,117463
2018-02,반포,3961.695284087936,107373.03571428571,116995
2018-02,삼청,4997.27459148476,46990.28571428572,92852
2018-02,서촌,3109.9872716531804,44093.07142857143,80083
2018-02,성수,4574.846772356601,65504.607142857145,98906
2018-02,신사,12592.036032630102,160657.92857142858,131307
2018-02,신촌,11153.208722553349,130228.78571428571,27568
2018-02,연남,9564.546879036474,8721.82142857143,60407
2018-02,을지로,3302.15317645136,240670.7857142857,23055
2018-02,이태원,13493.436121640862,49689.82142857143,104906
2018-02,익선,13463.096529476557,160687.7857142857,25821
2018-02,장충,1150.8402390761485,91882.46428571429,69735
2018-02,청담,3197.3960246752204,78624.14285714286,157235
2018-02,한남,3743.330297543249,26916.464285714286,79863
2018-02,혜화,14010.87936674101,78042.35714285714,59582
2018-02,홍대,28226.056240328966,186788.64285714287,113167
2018-03,강남,19101.832833628756,208841.96774193548,124007
2018-03,반포,3892.163915098618,118728.25806451614,120302
2018-03,삼청,5113.50953343699,54523.1935483871,92852
2018-03,서촌,3364.619787370816,53629.709677419356,80083
2018-03,성수,4792.309668184246,72836.19354838709,100629
2018-03,신사,11900.885596696526,174964.12903225806,134216
2018-03,신촌,9417.017302800165,156200.32258064515,27568
2018-03,연남,10008.822175091891,10156.193548387097,60734
2018-03,을지로,3762.169662362042,271662.3548387097,23055
2018-03,이태원,12735.343242561925,55188.93548387097,117713
2018-03,익선,13037.510730623537,177632.48387096773,25821
2018-03,장충,1290.7722250153379,103807.35483870968,71472
2018-03,청담,3419.628147951708,85703.74193548386,160599
2018-03,한남,3461.018486299949,29750.74193548387,83360
2018-03,혜화,12916.17617442834,87640.06451612903,64852
2018-03,홍대,22844.50050660011,197391.0,112963
2018-04,강남,20858.979965302093,203261.26666666666,126495
2018-04,반포,4074.5362082624893,118413.36666666667,121474
2018-04,삼청,5305.0008110604085,56438.6,92852
2018-04,서촌,3679.6660253831533,55824.333333333336,80083
2018-04,성수,4965.567009768142,74459.3,101326
2018-04,신사,10627.708396241436,171089.2,135269
2018-04,신촌,10315.509964903991,149143.36666666667,27615
2018-04,연남,9206.903319386598,10328.433333333332,61053
2018-04,을지로,4107.958808992425,271733.76666666666,23055
2018-04,이태원,11153.933634152922,52457.53333333333,117830
2018-04,익선,13333.790347683036,172564.43333333332,25869
2018-04,장충,1325.634839372295,104180.53333333334,72398
2018-04,청담,3436.595517228712,85615.53333333334,164408
2018-04,한남,3415.217638157207,29745.866666666665,83715
2018-04,혜화,8770.054667322638,85831.8,64852
2018-04,홍대,20676.10519746342,187605.76666666666,113392
2018-05,강남,21798.389739642633,200501.1935483871,127962
2018-05,반포,4212.774822393073,117743.58064516129,122790
2018-05,삼청,6421.856700813053,57050.58064516129,92852
2018-05,서촌,4093.769863236529,56130.290322580644,80083
2018-05,성수,5981.813921529173,73871.2258064516,101876
2018-05,신사,11489.000621482233,166800.25806451612,135269
2018-05,신촌,9107.51398725908,149624.16129032258,27748
2018-05,연남,11041.720372582016,10411.90322580645,64452
2018-05,을지로,4569.525597920467,264264.2580645161,23055
2018-05,이태원,13255.927755828514,55054.06451612903,117830
2018-05,익선,14755.907921801163,175845.2258064516,25869
2018-05,장충,1345.9411213443952,102903.25806451614,74453
2018-05,청담,3294.3110259648925,82564.41935483871,161749
2018-05,한남,4058.2791560842174,30272.58064516129,85369
2018-05,혜화,10161.200391888886,90358.64516129032,64852
2018-05,홍대,21890.50694939335,195327.70967741936,113392
2018-06,강남,18068.94019387028,198773.46666666667,128934
2018-06,반포,4018.5481596155823,115109.1,123314
2018-06,삼청,4733.991934309092,52546.76666666667,93037
2018-06,서촌,3281.7448072680913,50345.73333333333,80083
2018-06,성수,5575.322712584793,71930.0,103088
2018-06,신사,9898.160896412252,167644.16666666666,137369
2018-06,신촌,7219.018328765642,138279.4,27824
2018-06,연남,9809.236523728685,10189.433333333332,64528
2018-06,을지로,4023.0616986261502,258082.23333333334,23055
2018-06,이태원,11560.914144391054,53986.03333333333,118228
2018-06,익선,11343.331198387348,169515.4,25888
2018-06,장충,1262.136606568412,100756.0,75620
2018-06,청담,3049.0170465225956,82305.96666666666,163266
2018-06,한남,3837.1828323936375,30073.7,85645
2018-06,혜화,8241.245532483805,84792.3,64852
2018-06,홍대,18036.142365977918,187221.46666666667,113392
2018-07,강남,18502.811503043755,217968.67741935485,129858
2018-07,반포,3936.3470339381433,114331.90322580645,124579
2018-07,삼청,3534.572306935405,49280.16129032258,93037
2018-07,서촌,2673.5828216276527,45705.903225806454,80083
2018-07,성수,5240.928791374279,72044.06451612903,104033
2018-07,신사,10315.274745311528,168604.51612903227,138924
2018-07,신촌,8002.308235517557,136567.38709677418,27963
2018-07,연남,10188.211873895374,9617.612903225807,66219
2018-07,을지로,4106.722170470765,256951.7741935484,23055
2018-07,이태원,12106.83081972982,49453.83870967742,118228
2018-07,익선,11856.98830806094,166970.7741935484,25888
2018-07,장충,1322.9541194284136,98217.03225806452,78367
2018-07,청담,3227.144400431551,83511.12903225806,164604
2018-07,한남,4095.2047081535206,29222.58064516129,87271
2018-07,혜화,8577.039117792408,81696.41935483871,64852
2018-07,홍대,19963.272402856328,185680.25806451612,113514
2018-08,강남,17275.45688226125,205460.32258064515,134963
2018-08,반포,3907.714026337145,109931.58064516129,128350
2018-08,삼청,3727.6892400011707,48079.54838709677,93037
2018-08,서촌,3016.994696544429,45742.12903225807,80083
2018-08,성수,5550.5350915660365,68750.6129032258,105659
2018-08,신사,9725.10303078775,161095.7741935484,142115
2018-08,신촌,7380.650554844393,129085.7741935484,27963
2018-08,연남,9896.614807964948,9294.58064516129,66609
2018-08,을지로,4363.7233989287115,251498.0,23055
2018-08,이태원,12035.379758139963,47934.3870967742,120647
2018-08,익선,11763.922761979822,159460.0,25888
2018-08,장충,1415.8736759296582,93934.41935483871,83191
2018-08,청담,3219.1985185586022,80160.54838709677,167368
2018-08,한남,4046.543399333444,27909.16129032258,87806
2018-08,혜화,9261.940396181682,77287.51612903226,65678
2018-08,홍대,19554.760808278563,186591.96774193548,116186
2018-09,강남,13285.920583861092,181686.0,138194
2018-09,반포,3257.528851658849,107729.83333333333,133435
2018-09,삼청,5257.308071980355,50507.933333333334,93037
2018-09,서촌,3285.49089498818,52235.0,80083
2018-09,성수,5172.64514630186,66094.5,106131
2018-09,신사,7897.1684291345155,155342.7,145439
2018-09,신촌,5778.8106733047725,135374.8,27963
2018-09,연남,8863.906134378316,9741.766666666666,67417
2018-09,을지로,4291.51649572141,244449.6,23055
2018-09,이태원,11164.392985640276,50214.63333333333,122601
2018-09,익선,11418.262883703419,160598.56666666668,25888
2018-09,장충,1199.5750826373298,93559.83333333333,84550
2018-09,청담,2579.6668517432363,74743.8,171448
2018-09,한남,3399.171091844679,27899.866666666665,90309
2018-09,혜화,8240.540616156894,80150.56666666667,65678
2018-09,홍대,16149.612643288203,183391.33333333334,119806
2018-10,강남,13513.881630995327,197883.4193548387,139645
2018-10,반포,3166.244184090304,116852.83870967742,137343
2018-10,삼청,5341.953160867523,57374.45161290323,93222
2018-10,서촌,3169.02343747598,56911.67741935484,80083
2018-10,성수,4996.6472887222535,76301.80645161291,111506
2018-10,신사,7896.876793759777,171210.70967741936,145439
2018-10,신촌,5653.10785515763,143614.29032258064,28241
2018-10,연남,8311.314749784127,10620.838709677419,69894
2018-10,을지로,4139.468450261546,271779.51612903224,23564
2018-10,이태원,10569.46214616246,56944.48387096774,122841
2018-10,익선,11056.565589346417,176774.29032258064,25888
2018-10,장충,1224.7572714751172,103579.67741935483,85641
2018-10,청담,2816.328311287823,85414.74193548386,173301
2018-10,한남,3242.2529612325775,30201.1935483871,91536
2018-10,혜화,7718.239894339592,87618.54838709677,66424
2018-10,홍대,15684.87322729924,191856.25806451612,121360
2018-11,강남,14669.22450849507,206819.23333333334,140268
2018-11,반포,3308.5518047647324,120113.7,137812
2018-11,삼청,4090.442042039662,56713.03333333333,93222
2018-11,서촌,2878.862573297633,56808.433333333334,80083
2018-11,성수,4370.860030710956,77741.86666666667,113158
2018-11,신사,8393.310558987714,178877.4,148485
2018-11,신촌,6286.063599111263,152362.26666666666,28241
2018-11,연남,8434.474779799133,10893.0,73111
2018-11,을지로,5042.800554464915,282520.3333333333,23564
2018-11,이태원,25215.22016850029,49440.433333333334,124047
2018-11,익선,11453.0405222547,179221.4,25888
2018-11,장충,1233.8668041279714,105113.8,85884
2018-11,청담,3466.55614569941,89628.16666666667,173333
2018-11,한남,3129.9321166566465,30831.033333333333,91658
2018-11,혜화,8212.869037428592,93222.73333333334,66424
2018-11,홍대,15875.963063773928,194813.76666666666,121360
2018-12,강남,16878.26668649727,202945.61290322582,139515
2018-12,반포,3751.2715912774233,113358.09677419355,138992
2018-12,삼청,3344.7522432115984,48477.0,93222
2018-12,서촌,2679.6247635604627,50143.74193548387,80083
2018-12,성수,4063.501284100636,70380.80645161291,113326
2018-12,신사,9557.163263326294,175475.1935483871,148886
2018-12,신촌,7272.103009024116,141690.09677419355,28225
2018-12,연남,9816.267466043611,9892.90322580645,73188
2018-12,을지로,5202.883525256003,269641.1612903226,23564
2018-12,이태원,10906.65672404024,52211.45161290323,124047
2018-12,익선,13452.696881775184,178651.83870967742,25888
2018-12,장충,1397.969677423958,100730.67741935483,86108
2018-12,청담,3481.281354166065,82037.25806451614,173323
2018-12,한남,3456.576971988805,28086.354838709678,91824
2018-12,혜화,9728.973043815038,94201.70967741935,67846
2018-12,홍대,18914.372431885266,202992.61290322582,121360
2019-01,강남,17431.45008391556,216709.90322580645,139117
2019-01,반포,3508.703272121997,112285.70967741935,138720
2019-01,삼청,3454.09328989927,45630.32258064516,93222
2019-01,서촌,2946.1568214562253,46943.41935483871,80083
2019-01,성수,4206.227562377532,73696.7741935484,113492
2019-01,신사,8993.526999728902,174492.96774193548,148886
2019-01,신촌,7018.264521652646,130731.03225806452,28225
2019-01,연남,9278.745123506058,9717.41935483871,76701
2019-01,을지로,5350.079952251634,260494.87096774194,23587
2019-01,이태원,9492.888737782625,44519.51612903226,124209
2019-01,익선,16963.01403660087,185056.09677419355,25888
2019-01,장충,1316.5112566335144,98603.19354838709,86122
2019-01,청담,3020.9417342226866,85898.19354838709,173440
2019-01,한남,3240.923938170076,27978.387096774193,92008
2019-01,혜화,8655.71777026,83082.67741935483,68188
2019-01,홍대,17715.161728400486,191006.83870967742,121360
2019-02,강남,17572.322606328682,197329.7857142857,138581
2019-02,반포,3418.864625116146,104511.60714285714,138753
2019-02,삼청,3673.4896055529484,43760.17857142857,93222
2019-02,서촌,2501.8745099632624,44267.28571428572,80083
2019-02,성수,4468.3098979740225,67866.67857142857,113475
2019-02,신사,8916.800257466219,161975.67857142858,149025
2019-02,신촌,6676.053789215593,125158.67857142857,28225
